RepRapFirmware height map file v2 generated at 2020-08-11 11:37, min error -0.077, max error 0.107, mean -0.018, deviation 0.038
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,270.00,70.00,270.00,-1.00,30.00,25.00,9,9
 -0.077, -0.028,  0.000,  0.004,  0.013, -0.005, -0.028, -0.045, -0.059
 -0.069, -0.050, -0.025, -0.016, -0.015, -0.017,  0.016, -0.040, -0.074
 -0.073, -0.047, -0.003,  0.107,  0.005, -0.029, -0.022, -0.032, -0.074
 -0.065, -0.033, -0.015,  0.097,  0.027, -0.033, -0.011, -0.062, -0.055
 -0.034,  0.019, -0.012,  0.038, -0.013, -0.003,  0.036, -0.063, -0.051
 -0.062, -0.008, -0.016,  0.038, -0.003,  0.003,  0.022, -0.066, -0.067
 -0.059, -0.042, -0.007,  0.036,  0.026,  0.013,  0.031, -0.031, -0.055
 -0.053, -0.031, -0.013,  0.016,  0.014, -0.011, -0.003, -0.038, -0.067
 -0.060, -0.034,  0.006,  0.019,  0.049,  0.015, -0.005, -0.025, -0.050
