RepRapFirmware height map file v2 generated at 2020-06-15 12:07, min error -0.143, max error 0.153, mean -0.022, deviation 0.058
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,270.00,70.00,270.00,-1.00,30.00,25.00,9,9
 -0.025,  0.019,  0.032,  0.046,  0.069,  0.065,  0.028,  0.004,  0.005
 -0.044, -0.021, -0.004,  0.031,  0.022,  0.026,  0.076,  0.050, -0.008
 -0.059, -0.046, -0.006,  0.153,  0.023,  0.002, -0.006,  0.020, -0.039
 -0.077, -0.025, -0.027,  0.144,  0.050,  0.001, -0.003, -0.032, -0.038
 -0.051,  0.026, -0.020,  0.027, -0.001, -0.008,  0.049, -0.074, -0.072
 -0.107, -0.021, -0.056,  0.024, -0.010,  0.008,  0.018, -0.100, -0.084
 -0.117, -0.097, -0.055,  0.011, -0.007,  0.020, -0.002, -0.054, -0.098
 -0.130, -0.061, -0.077, -0.022, -0.031, -0.048, -0.055, -0.100, -0.134
 -0.143, -0.088, -0.067, -0.027, -0.008, -0.033, -0.079, -0.111, -0.136
